api_well_number,county_code,api_hole_number,sidetrack,completion,well_name,company_name,operator_number,well_type,map_symbol,well_status,status_date,permit_application_date,permit_issued_date,date_spudded,date_of_total_depth,date_well_completed,date_well_plugged,date_well_confidentiality_ends,confidentiality_code,town,quad,quad_section,producing_field,producing_formation,financial_security,slant,county,region,state_lease,"proposed_depth,_ft",surface_longitude,surface_latitude,bottom_hole_longitude,bottom_hole_latitude,"true_vertical_depth,_ft","measured_depth,_ft","kickoff,_ft","drilled_depth,_ft","elevation,_ft",original_well_type,permit_fee,objective_formation,depth_fee,spacing,spacing_acres,integration,hearing_date,date_last_modified,dec_database_link,location_1
31009114430000,9,11443,0,0,Loop 61,P.M.Oil,263,OD,OW,UN,08/23/2017,05/27/1975,05/28/1975,06/01/1975,08/20/1975,08/24/1975,,,Pre-1989 Well (N/A),Olean,Olean,H,Bradford,Bradford,True,Vertical,Cattaraugus,9.0,,0.0,-78.45767999999998,42.00226,-78.45767999999998,42.00226,1533.0,1533.0,0.0,1533.0,1940.0,NL,0.0,,0.0,,,,,01/24/2003 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31009114430000,"(42.00226, -78.45768)"
31075025550000,75,2555,0,0,Barclay Hugh Sanders 0,Pulaski Gas & Oil,9662,GD,GW,UL,,,,07/30/1924,,,,,Pre-1989 Well (N/A),Richland,Pulaski,E,Pulaski,Trenton,False,Vertical,Oswego,7.0,,0.0,-76.1682,43.55341,-76.1682,43.55341,1200.0,1200.0,0.0,1200.0,295.0,NL,0.0,,0.0,,,,,01/31/2017 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31075025550000,"(43.55341, -76.1682)"
31029667690000,29,66769,0,0,Schmidt,Schmidt Peter Jr.,9029,NL,O,UN,12/09/1986,,,,,,,,Pre-1989 Well (N/A),Tonawanda City,Buffalo NE,A,,,False,Vertical,Erie,9.0,,0.0,-78.8344,42.99593,-78.8344,42.99593,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,09/10/2015 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31029667690000,"(42.99593, -78.8344)"
31069028980000,69,2898,0,0,Case C.E. 1,Republic Light Heat & Power,9254,DH,DH,UL,,,,08/22/1930,,08/30/1930,,,Pre-1989 Well (N/A),Bristol,Bristol Center,F,Vincent,,False,Vertical,Ontario,8.0,,0.0,-77.407065,42.831696,-77.407065,42.831696,605.0,605.0,0.0,605.0,568.0,NL,0.0,,0.0,,,,,01/17/2017 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31069028980000,"(42.831696, -77.407065)"
31075025330000,75,2533,0,0,Barclay Hugh Eddy 0,Pulaski Gas & Oil,9662,GD,GW,UL,,,,10/28/1904,,,,,Pre-1989 Well (N/A),Richland,Pulaski,E,Pulaski,Trenton,False,Vertical,Oswego,7.0,,0.0,-76.17939,43.57148,-76.17939,43.57148,1125.0,1125.0,0.0,1125.0,255.0,NL,0.0,,0.0,,,,,09/03/2015 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31075025330000,"(43.57148, -76.17939)"
31075024910000,75,2491,0,0,Kinney G,Sandy Creek Oil & Gas,9642,GD,GW,UL,,,,01/01/1934,,01/01/1934,,,Pre-1989 Well (N/A),Sandy Creek,Sandy Creek,I,Sandy Creek,Trenton,False,Vertical,Oswego,7.0,,0.0,-76.03854,43.64445,-76.03854,43.64445,1130.0,1130.0,0.0,1130.0,760.0,NL,0.0,,0.0,,,,,06/12/2017 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31075024910000,"(43.64445, -76.03854)"
31065011760000,65,1176,0,0,Roberts M,Cabot G.L.,9481,DW,DH,UN,,,,01/01/1933,,,,,Pre-1989 Well (N/A),Camden,Camden West,B,,,False,Vertical,Oneida,6.0,,0.0,-75.79782,43.37126,-75.79782,43.37126,1933.0,1933.0,0.0,1933.0,599.0,NL,0.0,,0.0,,,,,01/24/2003 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31065011760000,"(43.37126, -75.79782)"
31029031140000,29,3114,0,0,Davis Albert & P Storozuk,,9998,GD,GW,UN,,,,06/07/1915,,07/23/1915,,,Pre-1989 Well (N/A),Evans,Farnham,B,Lakeview,,False,Vertical,Erie,9.0,,0.0,-79.0511,42.61819,-79.0511,42.61819,1812.0,1812.0,0.0,1812.0,680.0,NL,0.0,,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31029031140000,"(42.61819, -79.0511)"
31029139440000,29,13944,0,0,Fee 3,Aluminum Match Plate,9039,GD,GW,UN,,,,,,,,,Pre-1989 Well (N/A),Tonawanda,Buffalo NW,C,,,False,Vertical,Erie,9.0,,,-78.888204,42.978674,-78.888204,42.978674,0.0,0.0,0.0,0.0,,GD,0.0,,0.0,,,,,08/26/2015 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31029139440000,"(42.978674, -78.888204)"
31029146950000,29,14695,0,0,Harry Kettle R-71,Finance Oil & Gas,9355,GD,GW,UN,,,,,,,,,Pre-1989 Well (N/A),Collins,North Collins,D,,Medina,False,Vertical,Erie,9.0,,,-78.96625199999998,42.583256,-78.96625199999998,42.583256,2335.0,2335.0,0.0,2335.0,860.0,NL,0.0,Medina,0.0,,,,,12/17/2012 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31029146950000,"(42.583256, -78.966252)"
31067009390000,67,939,0,0,Onondaga Salt Reserve 1,New York State,9209,SG,O,UN,,,,01/01/1884,,,,,Pre-1989 Well (N/A),Syracuse City,Syracuse West,E,,,False,Vertical,Onondaga,7.0,,0.0,-76.1798,43.06392,-76.1798,43.06392,1969.0,1969.0,0.0,1969.0,365.0,NL,0.0,,0.0,Exempt - not an oil or gas well,,,,02/28/2006 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31067009390000,"(43.06392, -76.1798)"
31075025230000,75,2523,0,0,Phillips Wallace 0,Pulaski Gas & Oil,9662,GD,GW,UL,,,,10/01/1899,,,,,Pre-1989 Well (N/A),Richland,Pulaski,E,Pulaski,Trenton,False,Vertical,Oswego,7.0,,0.0,-76.19387,43.56326,-76.19387,43.56326,890.0,890.0,0.0,890.0,260.0,NL,0.0,,0.0,,,,,11/28/2016 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31075025230000,"(43.56326, -76.19387)"
31109004830000,109,483,0,0,Taubman Mary 2,Fralick C.W. & Assoc.,9260,DH,DH,UN,,,,12/20/1942,,12/20/1942,,,Pre-1989 Well (N/A),Danby,West Danby,C,Danby,,False,Vertical,Tompkins,7.0,,0.0,-76.50002,42.35885,-76.50036299999998,42.358782,2431.0,2431.0,0.0,2431.0,1328.0,NL,0.0,,0.0,,,,,10/30/2017 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31109004830000,"(42.35885, -76.50002)"
31075025380000,75,2538,0,0,Richardson D R Hiltn 0,Pulaski Gas & Oil,9662,GD,GW,UL,,,,07/01/1909,,,,,Pre-1989 Well (N/A),Richland,Pulaski,F,Pulaski,Trenton,False,Vertical,Oswego,7.0,,0.0,-76.161,43.55481,-76.161,43.55481,895.0,895.0,0.0,895.0,335.0,NL,0.0,,0.0,,,,,09/03/2015 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31075025380000,"(43.55481, -76.161)"
31029636180000,29,63618,0,0,Catt. Reservation #1658 (R-60),Seneca Nation of Indians,9006,GD,GW,UN,,,,,,,,,Pre-1989 Well (N/A),Brant,Farnham,E,,,False,Vertical,Erie,9.0,,0.0,-79.06559,42.5715,-79.06559,42.5715,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,01/14/2013 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31029636180000,"(42.5715, -79.06559)"
31037021770000,37,2177,0,0,Fagen,Republic Light Heat & Power,9254,DH,DH,UL,,,,,,09/29/1913,,,Pre-1989 Well (N/A),Pavilion,Stafford,I,Pavilion,,False,Vertical,Genesee,8.0,,0.0,-78.03502,42.90701,-78.03502,42.90701,1588.0,1588.0,0.0,1588.0,940.0,NL,0.0,,0.0,,,,,12/01/2017 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31037021770000,"(42.90701, -78.03502)"
31101614480000,101,61448,0,0,Cloverleaf 7,Lee Oil Company Inc.,1455,NL,O,UL,08/23/2017,,,,,,,,Pre-1989 Well (N/A),West Union,Rexville,B,Marsh,Fulmer Valley,False,Vertical,Steuben,8.0,,0.0,-77.69396,42.09063,-77.69396,42.09063,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,04/26/2016 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31101614480000,"(42.09063, -77.69396)"
31099048140000,99,4814,0,0,Jodiet 1,Sampson Creek Acres Inc.,1241,GW,GW,UL,08/23/2017,,,12/30/1965,,03/21/1966,,,Pre-1989 Well (N/A),Seneca Falls,Seneca Falls,I,Seneca Falls,Queenston,True,Vertical,Seneca,8.0,,0.0,-76.786832,42.894683,-76.786832,42.894683,1850.0,1850.0,0.0,1850.0,478.0,NL,0.0,,0.0,,,,,01/08/2020 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31099048140000,"(42.894683, -76.786832)"
31101600030000,101,60003,0,0,"Edwards, D. U3",,9998,GD,GW,UL,03/30/2021,,,,,,,,Application Received or Permit Issued,Greenwood,Rexville,A,Beech Hill-Independence,,True,Vertical,Steuben,8.0,,,-77.727624,42.107516,-77.727624,42.107516,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,04/22/2021 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31101600030000,"(42.107516, -77.727624)"
31003600280000,3,60028,0,0,"Reeland, Floyd U1",,9998,IW,O,UL,01/22/2018,,,,,,,,Pre-1989 Well (N/A),Bolivar,Bolivar,E,Richburg,,False,Vertical,Allegany,9.0,,,-78.16795,42.07154,-78.16795,42.07154,0.0,0.0,0.0,0.0,,NL,0.0,Richburg,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003600280000,"(42.07154, -78.16795)"
31003602760000,3,60276,0,0,Case 27o,Case Oil Corp.,461,OD,OW,UL,,,,,,,,,Pre-1989 Well (N/A),Bolivar,Allentown,D,Richburg,,True,Vertical,Allegany,9.0,,,-78.10114,42.07108,-78.10114,42.07108,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,11/28/2018 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003602760000,"(42.07108, -78.10114)"
31003047430000,3,4743,0,0,Hills Estate W2,Stengel J.C.,9283,OD,OW,UN,,,,,,05/05/1952,,,Pre-1989 Well (N/A),Amity,Belmont,E,Corbin Hill,Scio,False,Vertical,Allegany,9.0,,0.0,-78.07187999999998,42.19438,-78.07187999999998,42.19438,934.0,934.0,0.0,934.0,2078.0,NL,0.0,,0.0,,,,,01/24/2003 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003047430000,"(42.19438, -78.07188)"
31003601450000,3,60145,0,0,Moore & Gavin U3,B & B Oil,9675,NL,O,UL,,,,,,,,,Pre-1989 Well (N/A),Genesee,Bolivar,E,,,False,Vertical,Allegany,9.0,,,-78.19137999999998,42.07748,-78.19137999999998,42.07748,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,07/10/2018 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003601450000,"(42.07748, -78.19138)"
31003553190000,3,55319,0,0,Adrian 137,Case Oil Corp.,461,OD,OW,UL,08/23/2017,,,,,,,,Pre-1989 Well (N/A),Alma,Allentown,E,Richburg,Richburg,False,Vertical,Allegany,9.0,,,-78.05297299999998,42.077384,-78.05297299999998,42.077384,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,06/05/2018 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003553190000,"(42.077384, -78.052973)"
31003602480000,3,60248,0,0,Camoil(Peary) U2,C.G.Pipe and Oil Co.,482,OD,OW,UL,11/09/2018,,,,,,,,Pre-1989 Well (N/A),Genesee,Bolivar,E,Richburg,Richburg,False,Vertical,Allegany,9.0,,,-78.20535499999998,42.069944,-78.20535499999998,42.069944,0.0,0.0,0.0,0.0,,OD,0.0,,0.0,,,,,11/14/2018 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003602480000,"(42.069944, -78.205355)"
31003600440000,3,60044,0,0,Eagle U1,Eagle Oil,1186,IW,O,UL,04/23/2018,,,,,,,,Pre-1989 Well (N/A),Alma,Allentown,F,Richburg,,False,Vertical,Allegany,9.0,,,-78.026391,42.067157,-78.026391,42.067157,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,04/23/2018 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003600440000,"(42.067157, -78.026391)"
31003108900000,3,10890,0,0,Homestead 013,Case Oil Corp.,461,OD,OW,UN,08/23/2017,06/01/1974,06/05/1974,06/27/1974,09/05/1974,09/11/1974,,,Pre-1989 Well (N/A),Bolivar,Allentown,D,Richburg,Richburg,True,Vertical,Allegany,9.0,,1400.0,-78.11201,42.05961,-78.11201,42.05961,1709.0,1709.0,0.0,1709.0,2180.0,NL,0.0,Richburg,0.0,,,,,11/18/2004 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003108900000,"(42.05961, -78.11201)"
31003601440000,3,60144,0,0,Fee U6,B & B Oil,9675,NL,O,UL,,,,,,,,,Pre-1989 Well (N/A),Genesee,Bolivar,B,,,False,Vertical,Allegany,9.0,,,-78.19341,42.08418,-78.19341,42.08418,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,07/10/2018 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003601440000,"(42.08418, -78.19341)"
31001010720000,1,1072,0,0,Finch 1,Corona Typewriter,9372,NL,O,UN,,,,,,,,,,Knox,Durham,C,,,False,Vertical,Albany,4.0,,,-74.12681,42.49029,-74.12681,42.49029,2200.0,2200.0,0.0,2200.0,1155.0,OD,0.0,,0.0,,,,,03/31/2022 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001010720000,"(42.49029, -74.12681)"
31003563710000,3,56371,0,0,Tullar U-1,Moose Oil Co.,160,OD,OW,UL,,,,,,,,,Pre-1989 Well (N/A),Bolivar,Allentown,G,Richburg,Richburg,False,Vertical,Allegany,9.0,,,-78.109542,42.027487,-78.109542,42.027487,1200.0,1200.0,0.0,1200.0,,OD,0.0,Richburg,0.0,,,,,01/30/2017 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003563710000,"(42.027487, -78.109542)"
31003602900000,3,60290,0,0,Homestead 1319,Case Oil Corp.,461,IW,O,UL,,,,,,,,,Pre-1989 Well (N/A),Bolivar,Allentown,D,Richburg,,False,Vertical,Allegany,9.0,,,-78.09621,42.06959,-78.09621,42.06959,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,11/28/2018 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003602900000,"(42.06959, -78.09621)"
31003601000000,3,60100,0,0,Adrian 153,Case Oil Corp.,461,OD,OW,UL,,,,,,,,,Pre-1989 Well (N/A),Alma,Allentown,E,Richburg,Richburg,False,Vertical,Allegany,9.0,,,-78.05674,42.07744,-78.05674,42.07744,0.0,0.0,0.0,0.0,2025.0,NL,0.0,,0.0,,,,,12/07/2018 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003601000000,"(42.07744, -78.05674)"
31003603090000,3,60309,0,0,M31,,9998,OD,OW,UL,,,,,,,,,Pre-1989 Well (N/A),Scio,Allentown,C,,,True,Vertical,Allegany,9.0,,,-78.02534,42.09597,-78.02534,42.09597,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003603090000,"(42.09597, -78.02534)"
31003604100000,3,60410,0,0,Green 15,Pennzoil Products Co.,29,OD,OW,UL,01/09/2019,,,,,,,,Pre-1989 Well (N/A),Wirt,Bolivar,B,Richburg,,False,Vertical,Allegany,9.0,,,-78.1759,42.08945,-78.1759,42.08945,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003604100000,"(42.08945, -78.1759)"
31003600880000,3,60088,0,0,Adrian 55,Case Oil Corp.,461,OD,OW,UL,,,,,,,,,Pre-1989 Well (N/A),Alma,Allentown,E,Richburg,Richburg,False,Vertical,Allegany,9.0,,,-78.0587,42.07685,-78.0587,42.07685,0.0,0.0,0.0,0.0,2025.0,NL,0.0,,0.0,,,,,12/07/2018 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003600880000,"(42.07685, -78.0587)"
31003563640000,3,56364,0,0,Vincent 152,,9998,OD,OW,UL,04/08/2016,,,,,,,,Pre-1989 Well (N/A),Scio,Allentown,B,Richburg,Richburg,False,Vertical,Allegany,9.0,,,-78.062505,42.093783,-78.062505,42.093783,0.0,0.0,0.0,0.0,,OD,0.0,,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003563640000,"(42.093783, -78.062505)"
31003043810000,3,4381,0,0,Fassett C L Oliphant 63t,Thornton Co.,12,OW,OW,UN,08/23/2017,,,04/26/1954,,07/27/1954,,,Pre-1989 Well (N/A),Alma,Wellsville South,D,,,False,Vertical,Allegany,9.0,,0.0,-77.96526,42.06085,-77.96526,42.06085,4597.0,4597.0,0.0,4597.0,2141.0,NL,0.0,,0.0,,,,,01/24/2003 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003043810000,"(42.06085, -77.96526)"
31003604410000,3,60441,0,0,Oconnor 11,,9998,IW,O,UL,02/08/2019,,,,,,,,Pre-1989 Well (N/A),Genesee,Bolivar,D,Richburg,Richburg,False,Vertical,Allegany,9.0,,,-78.235577,42.05044,-78.235577,42.05044,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003604410000,"(42.05044, -78.235577)"
31003604190000,3,60419,0,0,Hughes 2,,9998,OD,OW,UL,06/25/2018,,,,,,,,Pre-1989 Well (N/A),Genesee,Bolivar,D,Richburg,Richburg,False,Vertical,Allegany,9.0,,,-78.21741,42.063294,-78.21741,42.063294,0.0,0.0,0.0,0.0,,NL,0.0,Richburg,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003604190000,"(42.063294, -78.21741)"
31003603190000,3,60319,0,0,Phillips Farm 3,,9998,OD,OW,UL,12/11/2018,,,,,,,,Pre-1989 Well (N/A),Bolivar,Allentown,D,Richburg,Richburg,False,Vertical,Allegany,9.0,,,-78.11443199999998,42.082042,-78.11443199999998,42.082042,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003603190000,"(42.082042, -78.114432)"
31003604510000,3,60451,0,0,Oconnor 20,,9998,NL,O,UL,02/08/2019,,,,,,,,Pre-1989 Well (N/A),Genesee,Bolivar,D,Richburg,Richburg,False,Vertical,Allegany,9.0,,,-78.23517099999998,42.051791,-78.23517099999998,42.051791,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003604510000,"(42.051791, -78.235171)"
31003603920000,3,60392,0,0,Point Oil U4,,9998,OD,OW,UL,,,,,,,,,Pre-1989 Well (N/A),Alma,Allentown,H,Richburg,Richburg,False,Vertical,Allegany,9.0,,,-78.046479,42.01638,-78.046479,42.01638,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003603920000,"(42.01638, -78.046479)"
31003601880000,3,60188,0,0,Gray U1,Bradley Producing Corp.,101,NL,O,UL,,,,,,,,,Pre-1989 Well (N/A),Clarksville,Bolivar,A,,,False,Vertical,Allegany,9.0,,,-78.24173999999998,42.12052,-78.24173999999998,42.12052,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,12/06/2018 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003601880000,"(42.12052, -78.24174)"
31003601130000,3,60113,0,0,Adrian 155,Case Oil Corp.,461,OD,OW,UL,,,,,,,,,Pre-1989 Well (N/A),Alma,Allentown,E,,,False,Vertical,Allegany,9.0,,,-78.05664,42.07563,,,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,12/07/2018 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003601130000,"(42.07563, -78.05664)"
